Year,SGD Inflation (%),INR Inflation (%),USD Inflation (%)
1991,3.4257,13.8702,4.2350
1992,2.2631,11.7878,3.0288
1993,2.2893,6.3269,2.9517
1994,3.1001,10.2479,2.6074
1995,1.7205,10.2249,2.8054
1996,1.3832,8.9772,2.9312
1997,2.0036,7.1643,2.3377
1998,-0.2675,13.2308,1.5523
1999,0.0167,4.6698,2.1880
2000,1.3616,4.0094,3.3769
2001,0.9972,3.7793,2.8262
2002,-0.3917,4.2972,1.5860
2003,0.5079,3.8059,2.2701
2004,1.6627,3.7673,2.6772
2005,0.4251,4.2463,3.3927
2006,0.9629,5.7965,3.2259
2007,2.1049,6.3729,2.8527
2008,6.6278,8.3493,3.8391
2009,0.5967,10.8824,-0.3555
2010,2.8237,11.9894,1.6400
2011,5.2478,8.9118,3.1568
2012,4.5756,9.4790,2.0693
2013,2.3586,10.0179,1.4648
2014,1.0251,6.6657,1.6222
2015,-0.5226,4.9070,0.1186
2016,-0.5323,4.9482,1.2616
2017,0.5763,3.3282,2.1301
2018,0.4386,3.9388,2.4426
2019,0.5653,3.7295,1.8122
2020,-0.1819,6.6234,1.2336
2021,2.3049,5.1314,4.6979
2022,6.1211,6.6990,8.0028
2023,4.8215,5.6491,4.1163
2024,2.3665,4.9530,2.9495
